run_id,block,config,protocol,fold,seed,dataset,fg_label,variant,status,notes
R040,B1b,channel,P-mild,0,42,LiTS,2,C4_protoRobust,TODO,
R041,B1b,channel,P-mild,1,42,LiTS,2,C4_protoRobust,TODO,
# Block 1d — protocol-mismatch transfer
R042,B1d,channel,P-mild,0,42,LiTS,2,C4_xfer_steep_to_mild,TODO,"Train on P-mild boxes, but use P-steep-fitted g_θ. Handled in run.py via --g_theta_from_protocol"
# Block 4 — sensitivity (fold 0, P-steep, C4 unless noted)
R043,B4,channel,P-steep,0,42,LiTS,2,d_safe=3,TODO,"LM_D_MARGIN=3"
R044,B4,channel,P-steep,0,42,LiTS,2,tau_low=0.2,TODO,"LM_TAU_LOW=0.2"
R045,B4,channel,P-steep,0,42,LiTS,2,tau_low=0.4,TODO,"LM_TAU_LOW=0.4"
R046,B4,channel,P-steep,0,42,LiTS,2,alpha_min=0.02,TODO,"LM_ALPHA_MIN=0.02"
R047,B4,channel,P-steep,0,42,LiTS,2,alpha_min=0.10,TODO,"LM_ALPHA_MIN=0.10"
R048,B4,uniform,P-steep,0,42,LiTS,2,C2_d_safe=3,TODO,"C2 + d_safe=3. LM_D_MARGIN=3"
# Block 5 — qualitative (post-training, no GPU training needed)
R049,B5,qualitative,P-steep,0,42,LiTS,2,,TODO,"Pick 3–5 val scans by small-lesion count; render comparisons. Manual."
# Block 6 — BraTS-METS confirmatory (blocked on data prep)
R050,B6,uniform,P-steep,0,42,BraTSMETS,1,,TODO,"BLOCKED on M0b (data prep)"
R051,B6,channel,P-steep,0,42,BraTSMETS,1,,TODO,"BLOCKED on M0b"
R052,B6,constant,P-steep,0,42,BraTSMETS,1,,TODO,"BLOCKED on M0b"
